Data de registro;Razão Social;CNPJ / CPF;RAMO;Status
01/01/2020;AJS PARTICIPAÇÕES LTDA.;26378085000130;SERVIÇOS;ENCERRADA
02/01/2020;HUGHES TELECOMUNICAÇÕES DO BRASIL LTDA.;05206385000404;SERVIÇOS;ENCERRADA POR DUPLICIDADE
02/01/2020;FACULDADES METROPOLITANAS UNIDAS EDUCACIONAIS LTDA. - FMU;63063689000113;EDUCAÇÃO;ENCERRADA
03/01/2020;COMÉRCIO DE PEÇAS E ACESSÓRIOS BOM-TEC LTDA. ME;74404492000117;COMÉRCIO;ENCERRADA
03/01/2020;DUQUE COMERCIAL EXPORTADORA E IMPORTADORA LTDA. ME;96412580000101;COMÉRCIO;EM ANDAMENTO
03/01/2020;DUQUE COMERCIAL EXPORTADORA E IMPORTADORA LTDA. ME;96412580000101;COMÉRCIO;ENCERRADA
03/01/2020;P & P MARKETING E DIVULGAÇÃO EIRELI EPP;26786543000170;SERVIÇOS;ENCERRADA
03/01/2020;CETTAA EDUCACIONAL LTDA. - UNIBTA;06123247000181;EDUCAÇÃO;ENCERRADA
03/01/2020;ALELO S.A;04740876000125;SERVIÇOS;ENCERRADA
04/01/2020;ARTHUR LUNDGREN TECIDOS S A CASAS PERNAMBUCANAS;61099834001243;COMÉRCIO;ENCERRADA
06/01/2020;CARREFOUR COMERCIO E INDUSTRIA LTDA;45543915059232;COMÉRCIO;ENCERRADA
06/01/2020;JAQUELINE APARECIDO FERREIRA ME - 37554988808;33932191000189;COMÉRCIO;ENCERRADA
06/01/2020;VANESSA LAFUZA SANTANA;28860176808;COMÉRCIO;ENCERRADA
06/01/2020;ATIVOS S.A. SECURITIZADORA DE CREDITOS FINANCEIROS;05437257000129;FINANCEIRO;ENCERRADA
07/01/2020;ASSOCIAÇÃO EDUCACIONAL NOVE DE JULHO;43374768000804;EDUCAÇÃO;ENCERRADA
07/01/2020;REDECARD S/A;01425787003383;FINANCEIRO;ENCERRADA
07/01/2020;LUADI COMÉRCIO ELETRÔNICO EIRELI EPP;23796817000113;COMÉRCIO;ENCERRADA
08/01/2020;RENAN CARLOS SAKA SERRALHERIA ME;21015517000124;SERVIÇOS;ENCERRADA
08/01/2020;DUQUE COMERCIAL EXPORTADORA E IMPORTADORA LTDA. ME;96412580000101;COMÉRCIO;ENCERRADA
08/01/2020;DIA BRASIL SOCIEDADE LIMITADA;03476811088229;COMÉRCIO;EM ANDAMENTO
08/01/2020;ASSOCIAÇÃO EDUCACIONAL NOVE DE JULHO;43374768001371;EDUCAÇÃO;CONVERTIDA EM RECLAMAÇÃO
08/01/2020;ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S/A;04310392000146;EDUCAÇÃO;ENCERRADA
09/01/2020;ZOCPRINT SERVIÇOS GRAFICOS LTDA.;15025135000189;COMÉRCIO;ENCERRADA
09/01/2020;ANDRE E SIMONE;-;COMÉRCIO;ENCERRADA
09/01/2020;EXPEDIA DO BRASIL AGENCIA DE VIAGENS E TURISMO LTDA.;09375740000187;SERVIÇOS;ENCERRADA
09/01/2020;DAFYNE PRESENTES LTDA. ME;24741138000100;COMÉRCIO;ENCERRADA
10/01/2020;L.R. MOTOS COMÉRCIO E SERVIÇOS LTDA. ME;03662938000165;COMÉRCIO;ENCERRADA
11/01/2020;BANCO LOSANGO S.A. - BANCO MÚLTIPLO;33254319000100;FINANCEIRO;ENCERRADA
11/01/2020;DENISE ARAÚJO GARCIA DA SILVA - CRECI 90583-F;13271821810;SERVIÇOS;ENCERRADA
11/01/2020;PEARSON EDCATION DO BRASIL LTDA.;01404158000190;SERVIÇOS;ENCERRADA POR DUPLICIDADE
12/01/2020;NATURAL CHOICE DO BRASIL LTDA.;10937715002334;COMÉRCIO;ENCERRADA
13/01/2020;GUILHERME DE OLIVEIRA GENEIRO ME;28200201000151;COMÉRCIO;ENCERRADA
13/01/2020;OPEL INTERNEDIAÇÕES DE NEGÓCIOS LTDA. ME;24113909000114;FINANCEIRO;ENCERRADA
13/01/2020;NS2.COM INTERNET S.A.;09339936000116;COMÉRCIO;EM ANDAMENTO
14/01/2020;NATTASHA ORNELLA VIASOONE ME;21000739000173;SERVIÇOS;ENCERRADA
14/01/2020;ECJ GAVEA PARK ESTACIONAMENTO E SERVIÇOS LTDA. ME;34338328000215;SERVIÇOS;ENCERRADA POR DUPLICIDADE
14/01/2020;NOBRES TABACOS LTDA.;54832571000111;COMÉRCIO;EM ANDAMENTO
14/01/2020;M FONTES OLIVEIRA ELETRONICOS EIRELI ME;21080439000141;COMÉRCIO;ENCERRADA
